Key,Value
"SystemSettings_Display_Orientation/HighKeywords","orientation orientations;Rotate rotates"
"SystemSettings_Display_Scaling_Override/Description","Change the size of apps on the screen"
"SystemSettings_Display_Scaling_Override/HighKeywords","bigger;larger;scaling;site sites;smaller;DPI"
"SystemSettings_Input_Mouse_SetButtonConfiguration/Description","Change the primary button on your mouse"
"SystemSettings_Input_Mouse_SetButtonConfiguration/HighKeywords","button buttons;button buttons;left;left;Primary;right"
"SystemSettings_Input_Mouse_SetScrollPage/Description","Change how far you scroll with the mouse wheel"
"SystemSettings_Input_Mouse_SetScrollPage/HighKeywords","Scroll scrolls;Wheel wheels"
"SystemSettings_Input_Touch_CursorSpeed/Description","Change the speed the cursor moves when you use the touchpad"
"SystemSettings_Input_Touch_CursorSpeed/HighKeywords","cursor;speed;mouse"
"SystemSettings_Input_Touch_EnableEdgeGesture/Description","Choose to allow swiping in from touchpad edges"
"SystemSettings_Input_Touch_EnableEdgeGesture/HighKeywords","edge edges;gesture gestures;Swipe swipes;touchpad;trackpad"
"SystemSettings_Input_Touch_EnableTouchPad/Description","Turn the touchpad on or off"
"SystemSettings_Input_Touch_EnableTouchPad/HighKeywords","touchpad;trackpad"
"SystemSettings_Input_Touch_EnableVisualFeedback/Description","Show visual feedback when you touch the screen"
"SystemSettings_Input_Touch_EnableVisualFeedback/HighKeywords","feedback;screen screens;touching;visual visuals"
"SystemSettings_Input_Touch_EnableVisualFeedbackPM/Description","Choose whether to use larger touch feedback"
"SystemSettings_Input_Touch_EnableVisualFeedbackPM/HighKeywords","feedback;touch dark darker;visual visuals"
"SystemSettings_Input_Touch_FourFingerTapEnabled/Description","Change what happens when you use four finger taps on the touchpad"
"SystemSettings_Input_Touch_FourFingerTapEnabled/HighKeywords","cortana;search;action center;notification;four;"
"SystemSettings_Input_Touch_LeaveOnWithMouse/Description","Turn off touchpad when a mouse is connected"
"SystemSettings_Input_Touch_LeaveOnWithMouse/HighKeywords","mouse;off"
"SystemSettings_Input_Touch_PanEnabled/Description","Turn off scrolling when you drag with two fingers on the touchpad"
"SystemSettings_Input_Touch_PanEnabled/HighKeywords","scrolling;scroll;pan;"
"SystemSettings_Input_Touch_RightClickZoneEnabled/Description","Turn off touchpad right-clicking"
"SystemSettings_Input_Touch_RightClickZoneEnabled/HighKeywords","rightclick;right click;click"
"SystemSettings_Input_Touch_SetActivationTimeout/Description","Choose whether to have a touchpad delay"
"SystemSettings_Input_Touch_SetActivationTimeout/HighKeywords","cursor cursors;tap taps;touch pad;touchpad"
"SystemSettings_Input_Touch_SetScrollDirection/Description","Reverse the touchpad’s scrolling direction"
"SystemSettings_Input_Touch_SetScrollDirection/HighKeywords","panning;scrolling"
"SystemSettings_Input_Touch_TapAndDrag/Description","Turn off double-tap and drag on the touchpad"
"SystemSettings_Input_Touch_TapAndDrag/HighKeywords","drag;double;tap"
"SystemSettings_Input_Touch_TapsEnabled/Description","Turn off tap to click when using the touchpad"
"SystemSettings_Input_Touch_TapsEnabled/HighKeywords","click;tap taps"
"SystemSettings_Input_Touch_ThreeFingerSlideEnabled/Description","Change what happens when you drag three fingers on the touchpad"
"SystemSettings_Input_Touch_ThreeFingerSlideEnabled/HighKeywords","taskview;alt;alttab;switch;three"
"SystemSettings_Input_Touch_ThreeFingerTapEnabled/Description","Change what happens when you use three finger taps on the touchpad"
"SystemSettings_Input_Touch_ThreeFingerTapEnabled/HighKeywords","cortana;search;action center;notification;three;"
"SystemSettings_Input_Touch_TwoFingerTapEnabled/Description","Turn off right clicks when you tap with two fingers on the touchpad"
"SystemSettings_Input_Touch_TwoFingerTapEnabled/HighKeywords","tap"
"SystemSettings_Input_Touch_ZoomEnabled/Description","Turn off zooming when you pinch with two fingers on the touchpad"
"SystemSettings_Input_Touch_ZoomEnabled/HighKeywords","pinch;zoom;zoom in;"
"SystemSettings_Keyboard_IsAutoCorrectionEnabled/Description","Autocorrect misspelled words"
"SystemSettings_Keyboard_IsAutoCorrectionEnabled/HighKeywords","autocorrect autocorrects;auto-correct auto-corrects;autocorrection autocorrections;auto-correction auto-corrections;correct corrects;correction corrections;spell spells;spelling spellings;typo typos"
"SystemSettings_Keyboard_IsAutoShiftEngageEnabled/Description","Capitalize the first letter of a sentence with the touch keyboard"
"SystemSettings_Keyboard_IsAutoShiftEngageEnabled/HighKeywords","autoshift;auto-shift;capital capitals;capitalize;caps;case;sentence sentences;shift;upper;uppercase"
"SystemSettings_Keyboard_IsCompatibilityKeyboardEnabled/Description","Use the standard keyboard layout as a touch keyboard option"
"SystemSettings_Keyboard_IsCompatibilityKeyboardEnabled/HighKeywords","keyboard keyboards;physical;standard"
"SystemSettings_Keyboard_IsDoubleTapSpaceEnabled/Description","Add a period when you double-tap the Spacebar"
"SystemSettings_Keyboard_IsDoubleTapSpaceEnabled/HighKeywords","double;double-tap;full;period periods;space spaces;spacebar;space-bar;stop"
"SystemSettings_Keyboard_IsKeyAudioFeedbackEnabled/Description","Play key sounds as I type"
"SystemSettings_Keyboard_IsKeyAudioFeedbackEnabled/HighKeywords","keyboard keyboards;sound sounds"
"SystemSettings_Keyboard_IsPredictionSpaceInsertionEnabled/Description","Add a space when you choose a text suggestion"
"SystemSettings_Keyboard_IsPredictionSpaceInsertionEnabled/HighKeywords","insert inserts;insertion insertions;space spaces;suggest suggests;suggestion suggestions"
"SystemSettings_Keyboard_IsShiftLockEnabled/Description","Use uppercase letters when you double-tap Shift"
"SystemSettings_Keyboard_IsShiftLockEnabled/HighKeywords","capitalize;caps;capslock;caps-lock;double-tap;lock locks;shift;uppercase"
"SystemSettings_Keyboard_IsSpellcheckingEnabled/Description","Highlight misspelled words"
"SystemSettings_Keyboard_IsSpellcheckingEnabled/HighKeywords","highlight highlights;spell spells;spelling spellings;squiggled"
"SystemSettings_Keyboard_IsTextPredictionEnabled/Description","Show text suggestions as I type"
"SystemSettings_Keyboard_IsTextPredictionEnabled/HighKeywords","predict predicts;prediction predictions;suggest suggests;suggestion suggestions"
"SystemSettings_Language_Add_Profile/Description","Add a language to this device"
"SystemSettings_Language_Add_Profile/HighKeywords","language languages"
"SystemSettings_Language_Installed_Profiles_Collection/Description","Edit language and keyboard options"
"SystemSettings_Language_Installed_Profiles_Collection/HighKeywords","Dictionary;display displays;IME;keyboard keyboards;language languages;Pack packs"
"SystemSettings_Language_Personal_Data_Control/Description","Choose whether to show text suggestions"
"SystemSettings_Language_Personal_Data_Control/HighKeywords",""
"SystemSettings_Language_Web_Content_Control/Description","Choose if websites can use your language list"
"SystemSettings_Language_Web_Content_Control/HighKeywords",""
"SystemSettings_Maps_DeleteAll/Description","Delete downloaded maps"
"SystemSettings_Maps_DeleteAll/HighKeywords","delete maps;delete map"
"SystemSettings_Maps_Download_Add_Package/Description","Download maps for offline use"
"SystemSettings_Maps_Download_Add_Package/HighKeywords","offline;map;maps;download"
"SystemSettings_Misc_ResetYourPC/Description","Reset this PC"
"SystemSettings_Misc_ResetYourPC/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_PreviewBuild/Description","Go back to an earlier build"
"SystemSettings_Misc_RollbackYourPC_PreviewBuild/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_PreviewBuildDisabled/Description","Go back to an earlier build"
"SystemSettings_Misc_RollbackYourPC_PreviewBuildDisabled/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows7/Description","Go back to Windows 7"
"SystemSettings_Misc_RollbackYourPC_Windows7/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows7Disabled/Description","Go back to Windows 7"
"SystemSettings_Misc_RollbackYourPC_Windows7Disabled/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows8/Description","Go back to Windows 8"
"SystemSettings_Misc_RollbackYourPC_Windows8/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows8Disabled/Description","Go back to Windows 8"
"SystemSettings_Misc_RollbackYourPC_Windows8Disabled/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows8_1/Description","Go back to Windows 8.1"
"SystemSettings_Misc_RollbackYourPC_Windows8_1/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_RollbackYourPC_Windows8_1Disabled/Description","Go back to Windows 8.1"
"SystemSettings_Misc_RollbackYourPC_Windows8_1Disabled/HighKeywords","recover recovers;recovery;refresh refreshes;reinstall;re-install;reset;restore restores"
"SystemSettings_Misc_StartFreshHyperLinkButton/Description","Start fresh with a clean install of Windows"
"SystemSettings_Misc_StartFreshHyperLinkButton/HighKeywords","start;fresh;clean"
"SystemSettings_MultiTasking_AeroSnapEnabled/Description","Arrange windows automatically by dragging them to the sides or corners of the screen"
"SystemSettings_MultiTasking_AeroSnapEnabled/HighKeywords","snap;aero;window;arrange;layout;aero snap;multi;multitasking;tasking"
"SystemSettings_MultiTasking_JointResizeEnabled/Description","When I resize a snapped window, simultaneously resize any adjacent snapped window"
"SystemSettings_MultiTasking_JointResizeEnabled/HighKeywords","resize;divider;snapresize;joint;snap"
"SystemSettings_MultiTasking_SnapAssistEnabled/Description","When I snap a window, show what I can snap next to it"
"SystemSettings_MultiTasking_SnapAssistEnabled/HighKeywords","suggest windows;assist;snap assist;choose window;multi;multitasking"
"SystemSettings_MultiTasking_SnapFillEnabled/Description","When I snap a window, automatically size it to fill available space"
"SystemSettings_MultiTasking_SnapFillEnabled/HighKeywords","fill;window fill;resize windows;adjust windows;snap fill;auto layout;multi;multitasking"
"SystemSettings_MusUpdate_AdvancedSettingsLink/Description","Advanced Windows Update options"
"SystemSettings_MusUpdate_AdvancedSettingsLink/HighKeywords","Automatic;Autoupdate autoupdates;fix fixes;patch patches;Security;Update updates;Updater;Up-dates;Updating;Windowsupdate;Wupdater;upgrade;technical;preview previews;build;insider insiders;flight flights;flighting"
"SystemSettings_MusUpdate_UpdateActionButton/Description","Check for updates"
"SystemSettings_MusUpdate_UpdateActionButton/HighKeywords","Automatic;Autoupdate;Check Windows updates;Fixes;Patches;Security;Update;Updater;Up-dates;Updating;Windowsupdate;Wupdater;Driver Drivers"
"SystemSettings_Network_Status_Troubleshooter/Description","Troubleshoot network"
"SystemSettings_Network_Status_Troubleshooter/HighKeywords","troubleshoot network;fix network connection"
"SystemSettings_Notifications_CustomizableQuickActions/Description","Choose your quick actions"
"SystemSettings_Notifications_CustomizableQuickActions/HighKeywords","quick;action actions;pin pins"
"SystemSettings_Notifications_SelectIconsToAppearOnTaskbar/Description","Select which icons appear on the taskbar"
"SystemSettings_Notifications_SelectIconsToAppearOnTaskbar/HighKeywords","taskbar;icon icons"
"SystemSettings_Notifications_ShowAppNotifications/Description","Turn app notifications on or off"
"SystemSettings_Notifications_ShowAppNotifications/HighKeywords","Announcement announcements;app apps;display displays;monitor monitors;Notification notifications;screen screens;Show shows"
"SystemSettings_Notifications_SoftLandingEnabled/Description","Get tips, tricks, and suggestions as you use Windows"
"SystemSettings_Notifications_SoftLandingEnabled/HighKeywords","tip tips;help"
"SystemSettings_Notifications_SystemIcons/Description","Turn system icons on or off"
"SystemSettings_Notifications_SystemIcons/HighKeywords","icon icons;tray"
"SystemSettings_PCSystem_GetPCName/Description","View your PC name"
"SystemSettings_PCSystem_GetPCName/HighKeywords","Name names;PC PCs"
"SystemSettings_PCSystem_InstalledRamStatus/Description","View RAM info"
"SystemSettings_PCSystem_InstalledRamStatus/HighKeywords","RAM;Memory"
"SystemSettings_PCSystem_JoinCloudDomain/Description","Connect your device to your work or school cloud domain"
"SystemSettings_PCSystem_JoinCloudDomain/HighKeywords","join;domain domains;connect connection;AAD;Active;Directory;Azure"
"SystemSettings_PCSystem_JoinDomain/Description","Connect your device to your work or school domain"
"SystemSettings_PCSystem_JoinDomain/HighKeywords","join;domain domains;connect connection;Active;Directory"
"SystemSettings_PCSystem_LeaveOrganization/Description","Disconnect your device from your work or school"
"SystemSettings_PCSystem_LeaveOrganization/HighKeywords","unjoin; leave; domain domains; connect connection;Active;Directory;AAD;Azure"
"SystemSettings_PCSystem_PenAndTouchStatus/Description","View pen and touch info"
"SystemSettings_PCSystem_PenAndTouchStatus/HighKeywords",""
"SystemSettings_PCSystem_ProcessorStatus/Description","View processor info"
"SystemSettings_PCSystem_ProcessorStatus/HighKeywords","CPU CPUs"
"SystemSettings_PCSystem_ProductIdStatus/Description","View your product ID"
"SystemSettings_PCSystem_ProductIdStatus/HighKeywords",""
"SystemSettings_PCSystem_RenamePC/Description","Rename your PC"
"SystemSettings_PCSystem_RenamePC/HighKeywords","rename;PC;computer;device"
"SystemSettings_PCSystem_SystemTypeStatus/Description","See if you have a 32-bit or 64-bit version of Windows"
"SystemSettings_PCSystem_SystemTypeStatus/HighKeywords","ARM;Intel;System systems"
"SystemSettings_Personalize_AccountPicture/Description","Change your account picture"
"SystemSettings_Personalize_AccountPicture/HighKeywords",""
"SystemSettings_Personalize_AccountPictureCamera/Description","Use the camera to create an account picture"
"SystemSettings_Personalize_AccountPictureCamera/HighKeywords",""
"SystemSettings_Personalize_AccountPicturePicker/Description","Browse for an account picture"
"SystemSettings_Personalize_AccountPicturePicker/HighKeywords",""
"SystemSettings_Personalize_Background_ChooseBackground/Description","Choose background, slideshow, or solid color as your background mode"
"SystemSettings_Personalize_Background_ChooseBackground/HighKeywords","background;slideshow;slide show;solid color;wallpaper;photo;image;album"
"SystemSettings_Personalize_Background_ChooseFit/Description","Choose a picture fit"
"SystemSettings_Personalize_Background_ChooseFit/HighKeywords","fit;fill"
"SystemSettings_Personalize_Color_ColorPrevalence/Description","Apply color to Start, taskbar, and Action Center"
"SystemSettings_Personalize_Color_ColorPrevalence/HighKeywords",""
"SystemSettings_Personalize_Color_ColorPrevalenceTitleBar/Description","Apply color to title bar"
"SystemSettings_Personalize_Color_ColorPrevalenceTitleBar/HighKeywords",""
"SystemSettings_Personalize_Color_EnableTransparency/Description","Make Start, taskbar, and Action Center transparent"
"SystemSettings_Personalize_Color_EnableTransparency/HighKeywords","transparency;transparent;opacity;opaque;appearance settings;appearances"
"SystemSettings_Personalize_LockScreenAppsBadge/Description","Choose apps to show quick status"
"SystemSettings_Personalize_LockScreenAppsBadge/HighKeywords","badges;badge;statuses"
"SystemSettings_Personalize_LockScreenAppsTile/Description","Choose an app to display detailed status"
"SystemSettings_Personalize_LockScreenAppsTile/HighKeywords","detail;details;statuses"
"SystemSettings_Personalize_LockScreenBackground/Description","Change the picture on your lock screen"
"SystemSettings_Personalize_LockScreenBackground/HighKeywords","background backgrounds;personalization;personalize;Wallpaper;wallpaper wallpapers"
"SystemSettings_Personalize_LockScreenChooseBackgroundType/Description","Choose Windows Spotlight, picture, or slideshow as your lock screen background mode"
"SystemSettings_Personalize_LockScreenChooseBackgroundType/HighKeywords","background;image;photo;picture;spotlight;slideshow;slide show"
"SystemSettings_Personalize_LockScreenSlideshowSource_CloudBrandName/Description","Add a folder to the lock screen slideshow"
"SystemSettings_Personalize_LockScreenSlideshowSource_CloudBrandName/HighKeywords","folder folders;library libraries;lockscreen;personalize;picture pictures;SkyDrive OneDrive;slideshow slideshows"
"SystemSettings_Personalize_UserTileAppList/Description","Use an app to create an account picture"
"SystemSettings_Personalize_UserTileAppList/HighKeywords",""
"SystemSettings_PowerAndSleep_DisplayOffTimeoutAC/Description","Choose when to turn off the screen when plugged in"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutAC/HighKeywords","display displays;monitor monitors;screen screens"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutAC_AoAc/Description","Choose when to turn off the screen when plugged in"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutAC_AoAc/HighKeywords","display displays;monitor monitors;screen screens"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutDC/Description","Choose when to turn off the screen on battery power"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutDC/HighKeywords","battery batteries;display displays;monitor monitors;screen screens"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutDC_AoAc/Description","Choose when to turn off the screen on battery power"
"SystemSettings_PowerAndSleep_DisplayOffTimeoutDC_AoAc/HighKeywords","battery batteries;display displays;monitor monitors;screen screens"
"SystemSettings_PowerAndSleep_SleepTimeoutAC/Description","Change when the PC sleeps when plugged in"
"SystemSettings_PowerAndSleep_SleepTimeoutAC/HighKeywords","screen screens;sleep sleeps"
"SystemSettings_PowerAndSleep_SleepTimeoutDC/Description","Change when the PC sleeps on battery power"
"SystemSettings_PowerAndSleep_SleepTimeoutDC/HighKeywords","screen screens;sleep sleeps"
"SystemSettings_Privacy_AdvertisingIdEnabled/Description","Choose if apps can use your advertising ID"
"SystemSettings_Privacy_AdvertisingIdEnabled/HighKeywords","Ad Ads;Advertising;Marketing;identifier"
"SystemSettings_Privacy_BackgroundApps_SubText/Description","Choose which apps can run in the background"
"SystemSettings_Privacy_BackgroundApps_SubText/HighKeywords","background; app; apps; task; tasks;"
"SystemSettings_Privacy_EnableCollectionOfUrlsAppsUse/Description","Turn SmartScreen Filter on or off for apps"
"SystemSettings_Privacy_EnableCollectionOfUrlsAppsUse/HighKeywords","Smartscreen"
"SystemSettings_Privacy_OpenPrivacyStatementLink/Description","Read the privacy statement"
"SystemSettings_Privacy_OpenPrivacyStatementLink/HighKeywords","Policy policies"
"SystemSettings_Proxy_AutomaticConfigScript/Description","Use automatic proxy configuration"
"SystemSettings_Proxy_AutomaticConfigScript/HighKeywords",""
"SystemSettings_Proxy_AutomaticDetection/Description","Turn automatic proxy detection on or off"
"SystemSettings_Proxy_AutomaticDetection/HighKeywords","Automatically;detect detects;setting settings"
"SystemSettings_Proxy_ManualProxyAddress/Description","Change manual proxy server settings"
"SystemSettings_Proxy_ManualProxyAddress/HighKeywords","bypass;manual;proxy proxies;server servers;setting settings"
"SystemSettings_Radio_DeviceList/Description","Turn wireless devices on or off"
"SystemSettings_Radio_DeviceList/HighKeywords","gnss;gps;nfc;radio;Wifi;wireless"
"SystemSettings_Radio_IsAirplaneModeEnabled/Description","Turn airplane mode on or off"
"SystemSettings_Radio_IsAirplaneModeEnabled/HighKeywords","airplane;wireless"
"SystemSettings_ShellMode_ModeChangeConfig/Description","Choose what happens when the device switches tablet mode on or off"
"SystemSettings_ShellMode_ModeChangeConfig/HighKeywords",""
"SystemSettings_ShellMode_Preference/Description","Choose whether to enter tablet mode when you sign in"
"SystemSettings_ShellMode_Preference/HighKeywords",""
"SystemSettings_ShellMode_TaskbarAppsVisibility/Description","Hide app icons on the taskbar in tablet mode"
"SystemSettings_ShellMode_TaskbarAppsVisibility/HighKeywords",""
"SystemSettings_ShellMode_TaskbarTabletModeAutohide/Description","Automatically hide the taskbar in tablet mode"
"SystemSettings_ShellMode_TaskbarTabletModeAutohide/HighKeywords","taskbar;tablet;autohide;hide;"
"SystemSettings_Startup_AdvancedStartup/Description","Change advanced startup options"
"SystemSettings_Startup_AdvancedStartup/HighKeywords","bios;boot boots;start starts;startup"
"SystemSettings_Start_LinkToPlacesPage/Description","Choose which folders appear on Start"
"SystemSettings_Start_LinkToPlacesPage/HighKeywords","start;screen;menu;places;folder"
"SystemSettings_Start_MoreTilesEnabled/Description","Show more tiles on Start"
"SystemSettings_Start_MoreTilesEnabled/HighKeywords","start;screen;menu;tile;tiles;group;width;size;column;columns;change"
"SystemSettings_Start_ShowRecentlyAddedAppsGroup/Description","Show recently added apps in Start"
"SystemSettings_Start_ShowRecentlyAddedAppsGroup/HighKeywords","start;screen;menu;apps;recent;install;installed"
"SystemSettings_Start_ShowSuggestedAppsGroup/Description","Occasionally show suggestions in Start"
"SystemSettings_Start_ShowSuggestedAppsGroup/HighKeywords","start;screen;menu"
"SystemSettings_Start_Size/Description","Use Start full screen"
"SystemSettings_Start_Size/HighKeywords","start;screen;menu;fullscreen;full screen"
"SystemSettings_Start_StoreMFUApps/Description","Show most used apps in Start"
"SystemSettings_Start_StoreMFUApps/HighKeywords","start;screen;menu;apps;recent"
"SystemSettings_Start_StoreRecentlyOpenedItems/Description","Show recently opened items in Jump Lists on Start or the taskbar"
"SystemSettings_Start_StoreRecentlyOpenedItems/HighKeywords","start;screen;menu;recent"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink-2/Description","Add an optional feature"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink-2/HighKeywords","optional;feature features"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink-3/Description","See optional feature history"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink-3/HighKeywords","optional;feature features"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink/Description","Manage optional features"
"SystemSettings_StorageSense_AppSizesOptionalComponentsLink/HighKeywords","optional;feature features"
"SystemSettings_SyncSettings_SyncAccessibility_Toggle/Description","Sync your Ease of Access settings"
"SystemSettings_SyncSettings_SyncAccessibility_Toggle/HighKeywords","Magnifier magnifiers;Narrator"
"SystemSettings_SyncSettings_SyncBrowserSettings_Toggle/Description","Sync your browser settings on this PC"
"SystemSettings_SyncSettings_SyncBrowserSettings_Toggle/HighKeywords","auto;browser browsers;complete completes;favorite favorites;history;tabs"
"SystemSettings_SyncSettings_SyncCredentials_Toggle/Description","Sync your passwords on this PC"
"SystemSettings_SyncSettings_SyncCredentials_Toggle/HighKeywords","HomeGroup HomeGroups;password passwords"
"SystemSettings_SyncSettings_SyncLanguage_Toggle/Description","Sync your language and keyboard settings"
"SystemSettings_SyncSettings_SyncLanguage_Toggle/HighKeywords","keyboard keyboards;language languages"
"SystemSettings_SyncSettings_SyncMaster_Toggle/Description","Choose if settings are synced on this PC"
"SystemSettings_SyncSettings_SyncMaster_Toggle/HighKeywords","roam roams;same;setting settings;setting settings;sync syncs;sync syncs"
"SystemSettings_SyncSettings_SyncPersonalization_Toggle/Description","Sync your personalization settings"
"SystemSettings_SyncSettings_SyncPersonalization_Toggle/HighKeywords","color colors;high contrast;lock locks;screen screens"
"SystemSettings_SyncSettings_Windows_Toggle/Description","Sync File Explorer and other settings"
"SystemSettings_SyncSettings_Windows_Toggle/HighKeywords",""
"SystemSettings_Taskbar_Autohide/Description","Automatically hide the taskbar"
"SystemSettings_Taskbar_Autohide/HighKeywords","taskbar;autohide;hide;"
"SystemSettings_Taskbar_Badging/Description","Show badges on the taskbar"
"SystemSettings_Taskbar_Badging/HighKeywords","taskbar; badging; badges;"
"SystemSettings_Taskbar_GlommingPrimary/Description","Options to group similar windows on taskbar on primary display"
"SystemSettings_Taskbar_GlommingPrimary/HighKeywords","taskbar; combine; button; buttons; group"
"SystemSettings_Taskbar_GlommingSecondary/Description","Options to group similar windows on taskbar on secondary displays"
"SystemSettings_Taskbar_GlommingSecondary/HighKeywords","taskbar; combine; button; buttons; group"
"SystemSettings_Taskbar_Help/Description","How do I customize taskbars"
"SystemSettings_Taskbar_Help/HighKeywords",""
"SystemSettings_Taskbar_Location/Description","Taskbar location on screen"
"SystemSettings_Taskbar_Location/HighKeywords",""
"SystemSettings_Taskbar_Lock/Description","Lock the taskbar"
"SystemSettings_Taskbar_Lock/HighKeywords",""
"SystemSettings_Taskbar_MultiMon/Description","Show taskbar on all displays"
"SystemSettings_Taskbar_MultiMon/HighKeywords",""
"SystemSettings_Taskbar_MultiMonTaskbarMode/Description","Customize how to group similar windows"
"SystemSettings_Taskbar_MultiMonTaskbarMode/HighKeywords","taskbar; combine; button; buttons; group"
"SystemSettings_Taskbar_PeekPreviewDesktop/Description","Preview desktop when you move your mouse to the Show desktop button at the end of taskbar"
"SystemSettings_Taskbar_PeekPreviewDesktop/HighKeywords","taskbar; peek; preview; desktop"
"SystemSettings_Taskbar_ReplaceCommandPromptWithPowerShellWinX/Description","Replace Command Prompt with Windows PowerShell when using Windows + X menu"
"SystemSettings_Taskbar_ReplaceCommandPromptWithPowerShellWinX/HighKeywords","taskbar"
"SystemSettings_Taskbar_SelectIconsToAppearOnTaskbar/Description","Select which icons appear on the taskbar"
"SystemSettings_Taskbar_SelectIconsToAppearOnTaskbar/HighKeywords","taskbar;icon;icons"
"SystemSettings_Taskbar_SmallButtons/Description","Use small taskbar buttons"
"SystemSettings_Taskbar_SmallButtons/HighKeywords",""
"SystemSettings_Taskbar_SystemIcons/Description","Turn system icons on or off"
"SystemSettings_Taskbar_SystemIcons/HighKeywords","icon;icons;tray"
"SystemSettings_Users_AssignedAccess/Description","Choose an account for assigned access"
"SystemSettings_Users_AssignedAccess/HighKeywords",""
"SystemSettings_Users_ChangePassword/Description","Change your password"
"SystemSettings_Users_ChangePassword/HighKeywords","add;change;password"
"SystemSettings_Users_DelayLock/Description","Change the sign-in requirements"
"SystemSettings_Users_DelayLock/HighKeywords","require;sign-in sign;in;option options;policy policies;"
"SystemSettings_Users_EnrollmentFace/Description","Set up face sign-in"
"SystemSettings_Users_EnrollmentFace/HighKeywords","windows hello;add;enroll;setup;remove;delete;reset;improve;additional;bio biometric biometrics;face faces;recognition;improvement;"
"SystemSettings_Users_EnrollmentFingerprint/Description","Set up fingerprint sign-in"
"SystemSettings_Users_EnrollmentFingerprint/HighKeywords","windows hello;enroll;setup;remove;delete;reset;improve;additional;bio biometric biometrics;fingerprint fingerprints;"
"SystemSettings_Users_EnrollmentIris/Description","Set up iris sign-in"
"SystemSettings_Users_EnrollmentIris/HighKeywords","windows hello;add;enroll;setup;remove;delete;reset;improve;additional;bio biometric biometrics;iris;recognition;improvement;"
"SystemSettings_Users_PicturePassword/Description","Set up a picture password"
"SystemSettings_Users_PicturePassword/HighKeywords","photo photos;picture pictures;password"
"SystemSettings_Users_PINPassword/Description","Set up PIN sign-in"
"SystemSettings_Users_PINPassword/HighKeywords","work;passport;corporate;organization;store;add;change;remove;delete;reset;forgot;PIN PINs;"
"SystemSettings_VirtualDesktops_AltTabFilter/Description","Choose what windows show when pressing Alt+Tab when using virtual desktops"
"SystemSettings_VirtualDesktops_AltTabFilter/HighKeywords","alt;tab;alttab;virtual desktop;filter;additional;add;new;multiple;multitasking"
"SystemSettings_VirtualDesktops_TaskbarFilter/Description","Choose what windows show on the taskbar when using virtual desktops"
"SystemSettings_VirtualDesktops_TaskbarFilter/HighKeywords","taskbar;virtual desktop;filter;additional;add;new;multiple;multitasking"
"SystemSettings_WorkAccess_ProvisionPackage/Description","Add or remove a provisioning package"
"SystemSettings_WorkAccess_ProvisionPackage/HighKeywords","provision;provisioning;package;packages;add package;remove package"
"SystemSettings_Workplace_CorpDeviceManagement/Description","Allow your organization to manage your PC"
"SystemSettings_Workplace_CorpDeviceManagement/HighKeywords","company companies;Organization organizations;Workplace"
"SystemSettings_Workplace_RelatedSettings/Description","Add or remove a provisioning package"
"SystemSettings_Workplace_RelatedSettings/HighKeywords","provision;provisioning;package;packages;add package;remove package"
